Rank,Ticker,Sector,Industry,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50
1044,SANOFICONR,Healthcare,Drug Manufacturers - General,98.24,47,49,73,44,4505.9,107814891858.1875,-18.25,20840,12117,12570
1045,VHL,Financial Services,Credit Services,98.23,47,48,59,45,3554.5,11180908224.636719,-16.85,1575,873,720
1046,SURYALAXMI,Consumer Cyclical,Textile Manufacturing,98.22,47,44,62,53,60.62,1081492196.3359451,-18.74,7580,7295,9028
1047,GRSE,Industrials,Aerospace & Defense,98.2,47,52,71,77,2586.9,293917527193.3594,-22.52,544694,446299,636878
1048,ORIENTELEC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",98.14,47,46,53,24,189.75,36434231626.90698,-15.62,1169761,1312811,853002
1049,SRGHFL,Financial Services,Mortgage Finance,98.14,47,63,64,43,287.05,4861498486.0,-14.31,11200,6767,6730
1050,SOLARA,Healthcare,Drug Manufacturers - Specialty & Generic,98.09,47,60,77,49,514.2,23734626192.340576,-27.78,181378,269507,307348
1051,BESTAGRO,Basic Materials,Agricultural Inputs,98.05,46,2,11,23,19.84,5376813821.881485,-44.24,10148273,3803015,2493475
1052,AFSL,Financial Services,Capital Markets,98.01,46,41,58,64,201.24,10218791559.0,-14.73,10306,7469,11341
1053,GATEWAY,Industrials,Integrated Freight & Logistics,97.99,46,53,45,57,56.79,28169920007.357193,-25.76,1929259,1209582,1162762
1054,UNITEDTEA,Consumer Defensive,Farm Products,97.99,46,45,87,85,469.75,2347386645.8067627,-20.38,1130,2338,2416
1055,RVHL,Real Estate,Real Estate - Development,97.98,46,47,35,64,43.69,2813011903.5170364,-38.78,9257,17415,35286
1056,TSFINV,Financial Services,Asset Management,97.97,46,64,40,83,434.1,95515425225.20782,-38.12,68481,170465,154721
1057,AVANTIFEED,Consumer Defensive,Packaged Foods,97.97,46,65,94,99,903.75,133118791128.34534,-43.3,462690,500865,552043
1058,TORNTPOWER,Utilities,Utilities - Independent Power Producers,97.96,46,58,75,80,1342.9,722648058713.9674,-26.38,354994,356549,349502
1059,AIROLAM,Consumer Cyclical,"Furnishings, Fixtures & Appliances",97.95,46,38,35,44,92.75,1288371718.7957764,-25.8,1615,4499,12069
1060,VIDHIING,Basic Materials,Specialty Chemicals,97.91,46,23,22,25,314.3,15510419140.319824,-27.41,108342,57485,37320
1061,KSOLVES,Technology,Software - Application,97.89,46,36,39,39,277.25,6663060215.222168,-21.87,36407,130425,96869
1062,TATAPOWER,Utilities,Utilities - Independent Power Producers,97.83,46,42,72,68,382.0,1196335106893.995,-17.83,3554490,3975736,4357511
1063,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",97.82,46,71,70,41,683.6,13622430343.412476,-17.02,57022,81002,58968
1064,SHIVAMILLS,Consumer Cyclical,Textile Manufacturing,97.77,46,47,66,13,64.45,535619255.88409424,-16.31,3301,1555,1438
1065,STCINDIA,Industrials,Conglomerates,97.76,46,45,51,55,118.63,7073399963.378906,-21.28,32361,41984,166342
1066,ESTER,Basic Materials,Specialty Chemicals,97.73,46,27,50,28,99.22,9233239940.946716,-25.09,223330,116528,92552
1067,IDBI,Financial Services,Banks - Regional,97.68,46,47,6,91,83.0,913201520004.1227,-29.89,5098127,10840124,18187048
